
Miss counter = 109492019

[172]: tagMask: ffffffffe000 , tag_offset: 10200000 , ppn: 0 , valid: true , ptIndex: 172 , countAccess: 1263920
[173]: tagMask: fffffffff000 , tag_offset: 10202000 , ppn: 0 , valid: true , ptIndex: 173 , countAccess: 693146
[174]: tagMask: ffffffffe000 , tag_offset: 10204000 , ppn: 0 , valid: true , ptIndex: 174 , countAccess: 17731
[175]: tagMask: ffffffe00000 , tag_offset: 10400000 , ppn: 0 , valid: true , ptIndex: 175 , countAccess: 0
[176]: tagMask: ffffffffe000 , tag_offset: 10600000 , ppn: 0 , valid: true , ptIndex: 176 , countAccess: 21974
[177]: tagMask: ffffffff0000 , tag_offset: 10610000 , ppn: 0 , valid: true , ptIndex: 177 , countAccess: 22773
[178]: tagMask: ffffffe00000 , tag_offset: 10800000 , ppn: 0 , valid: true , ptIndex: 178 , countAccess: 0
[179]: tagMask: ffffffffe000 , tag_offset: 10a00000 , ppn: 0 , valid: true , ptIndex: 179 , countAccess: 22095
[180]: tagMask: ffffffff0000 , tag_offset: 10a10000 , ppn: 0 , valid: true , ptIndex: 180 , countAccess: 24020
[181]: tagMask: ffffffe00000 , tag_offset: 10c00000 , ppn: 0 , valid: true , ptIndex: 181 , countAccess: 0
[182]: tagMask: ffffffffe000 , tag_offset: 10e00000 , ppn: 0 , valid: true , ptIndex: 182 , countAccess: 22081
[183]: tagMask: ffffffffe000 , tag_offset: 10e02000 , ppn: 0 , valid: true , ptIndex: 183 , countAccess: 15347
[184]: tagMask: ffffffe00000 , tag_offset: 11000000 , ppn: 0 , valid: true , ptIndex: 184 , countAccess: 0
[185]: tagMask: ffffffffe000 , tag_offset: 11200000 , ppn: 0 , valid: true , ptIndex: 185 , countAccess: 22235
[186]: tagMask: ffffffffe000 , tag_offset: 11202000 , ppn: 0 , valid: true , ptIndex: 186 , countAccess: 16864
[187]: tagMask: ffffffe00000 , tag_offset: 11400000 , ppn: 0 , valid: true , ptIndex: 187 , countAccess: 0
[188]: tagMask: ffffffffe000 , tag_offset: 11600000 , ppn: 0 , valid: true , ptIndex: 188 , countAccess: 22357
[189]: tagMask: fffffffc0000 , tag_offset: 11640000 , ppn: 0 , valid: true , ptIndex: 189 , countAccess: 15163
[190]: tagMask: ffffffe00000 , tag_offset: 11800000 , ppn: 0 , valid: true , ptIndex: 190 , countAccess: 0
[191]: tagMask: ffffffffc000 , tag_offset: 11a00000 , ppn: 0 , valid: true , ptIndex: 191 , countAccess: 22054
[192]: tagMask: ffffffffc000 , tag_offset: 11a04000 , ppn: 0 , valid: true , ptIndex: 192 , countAccess: 18288
[193]: tagMask: ffffffe00000 , tag_offset: 11c00000 , ppn: 0 , valid: true , ptIndex: 193 , countAccess: 0
[194]: tagMask: ffffffff8000 , tag_offset: 11e00000 , ppn: 0 , valid: true , ptIndex: 194 , countAccess: 21771
[195]: tagMask: fffffffff000 , tag_offset: 11e08000 , ppn: 0 , valid: true , ptIndex: 195 , countAccess: 15319
[196]: tagMask: ffffffe00000 , tag_offset: 12000000 , ppn: 0 , valid: true , ptIndex: 196 , countAccess: 0
[197]: tagMask: ffffffffe000 , tag_offset: 12200000 , ppn: 0 , valid: true , ptIndex: 197 , countAccess: 21701
[198]: tagMask: ffffffff0000 , tag_offset: 12210000 , ppn: 0 , valid: true , ptIndex: 198 , countAccess: 19995
[199]: tagMask: ffffffe00000 , tag_offset: 12400000 , ppn: 0 , valid: true , ptIndex: 199 , countAccess: 0
[200]: tagMask: ffffffffc000 , tag_offset: 12600000 , ppn: 0 , valid: true , ptIndex: 200 , countAccess: 22265
[201]: tagMask: fffffff00000 , tag_offset: 12700000 , ppn: 0 , valid: true , ptIndex: 201 , countAccess: 60519
[202]: tagMask: ffffffe00000 , tag_offset: 12800000 , ppn: 0 , valid: true , ptIndex: 202 , countAccess: 0
[203]: tagMask: ffffffff8000 , tag_offset: 12a00000 , ppn: 0 , valid: true , ptIndex: 203 , countAccess: 24670
[204]: tagMask: fffffffe0000 , tag_offset: 12a20000 , ppn: 0 , valid: true , ptIndex: 204 , countAccess: 47253
[205]: tagMask: ffffffe00000 , tag_offset: 12c00000 , ppn: 0 , valid: true , ptIndex: 205 , countAccess: 0
[206]: tagMask: ffffffffe000 , tag_offset: 12e00000 , ppn: 0 , valid: true , ptIndex: 206 , countAccess: 22611
[207]: tagMask: fffffff00000 , tag_offset: 12f00000 , ppn: 0 , valid: true , ptIndex: 207 , countAccess: 5335967
[208]: tagMask: ffffffe00000 , tag_offset: 13000000 , ppn: 0 , valid: true , ptIndex: 208 , countAccess: 0
[209]: tagMask: ffffffff8000 , tag_offset: 13200000 , ppn: 0 , valid: true , ptIndex: 209 , countAccess: 41076
[210]: tagMask: fffffffc0000 , tag_offset: 13240000 , ppn: 0 , valid: true , ptIndex: 210 , countAccess: 3074196
[211]: tagMask: ffffffe00000 , tag_offset: 13400000 , ppn: 0 , valid: true , ptIndex: 211 , countAccess: 0
[212]: tagMask: ffffffffe000 , tag_offset: 13600000 , ppn: 0 , valid: true , ptIndex: 212 , countAccess: 106584
[213]: tagMask: fffffff00000 , tag_offset: 13700000 , ppn: 0 , valid: true , ptIndex: 213 , countAccess: 143486
[214]: tagMask: ffffffe00000 , tag_offset: 13800000 , ppn: 0 , valid: true , ptIndex: 214 , countAccess: 0
[215]: tagMask: ffffffff0000 , tag_offset: 13a00000 , ppn: 0 , valid: true , ptIndex: 215 , countAccess: 23325
[216]: tagMask: fffffffc0000 , tag_offset: 13a40000 , ppn: 0 , valid: true , ptIndex: 216 , countAccess: 495029
