
Miss counter = 93848384

[130]: tagMask: ffffffe00000 , tag_offset: 15200000 , ppn: 0 , valid: true , ptIndex: 130 , countAccess: 0
[131]: tagMask: ffffffffc000 , tag_offset: 15400000 , ppn: 0 , valid: true , ptIndex: 131 , countAccess: 380789
[132]: tagMask: ffffffffe000 , tag_offset: 15404000 , ppn: 0 , valid: true , ptIndex: 132 , countAccess: 56957
[133]: tagMask: fffffff80000 , tag_offset: 15480000 , ppn: 0 , valid: true , ptIndex: 133 , countAccess: 1170847
[134]: tagMask: ffffffe00000 , tag_offset: 15600000 , ppn: 0 , valid: true , ptIndex: 134 , countAccess: 0
[135]: tagMask: ffffffff0000 , tag_offset: 15800000 , ppn: 0 , valid: true , ptIndex: 135 , countAccess: 90513
[136]: tagMask: fffffffc0000 , tag_offset: 15840000 , ppn: 0 , valid: true , ptIndex: 136 , countAccess: 71777
[137]: tagMask: ffffffe00000 , tag_offset: 15a00000 , ppn: 0 , valid: true , ptIndex: 137 , countAccess: 0
[138]: tagMask: ffffffffe000 , tag_offset: 15c00000 , ppn: 0 , valid: true , ptIndex: 138 , countAccess: 49470
[139]: tagMask: fffffffc0000 , tag_offset: 15c40000 , ppn: 0 , valid: true , ptIndex: 139 , countAccess: 3461374918
[140]: tagMask: ffffffe00000 , tag_offset: 15e00000 , ppn: 0 , valid: true , ptIndex: 140 , countAccess: 0
[141]: tagMask: ffffffff8000 , tag_offset: 16000000 , ppn: 0 , valid: true , ptIndex: 141 , countAccess: 44463985
[142]: tagMask: fffffff00000 , tag_offset: 16100000 , ppn: 0 , valid: true , ptIndex: 142 , countAccess: 56613967
[143]: tagMask: ffffffe00000 , tag_offset: 16200000 , ppn: 0 , valid: true , ptIndex: 143 , countAccess: 0
[144]: tagMask: ffffffff8000 , tag_offset: 16400000 , ppn: 0 , valid: true , ptIndex: 144 , countAccess: 196637
[145]: tagMask: ffffffe00000 , tag_offset: 16600000 , ppn: 0 , valid: true , ptIndex: 145 , countAccess: 8071600
[146]: tagMask: ffffffe00000 , tag_offset: 16800000 , ppn: 0 , valid: true , ptIndex: 146 , countAccess: 0
[147]: tagMask: ffffffffe000 , tag_offset: 16a00000 , ppn: 0 , valid: true , ptIndex: 147 , countAccess: 70838
[148]: tagMask: fffffffe0000 , tag_offset: 16a20000 , ppn: 0 , valid: true , ptIndex: 148 , countAccess: 80627
[149]: tagMask: ffffffe00000 , tag_offset: 16c00000 , ppn: 0 , valid: true , ptIndex: 149 , countAccess: 0
[150]: tagMask: ffffffffe000 , tag_offset: 16e00000 , ppn: 0 , valid: true , ptIndex: 150 , countAccess: 48256
[151]: tagMask: ffffffe00000 , tag_offset: 17000000 , ppn: 0 , valid: true , ptIndex: 151 , countAccess: 3906024
[152]: tagMask: ffffffe00000 , tag_offset: 17200000 , ppn: 0 , valid: true , ptIndex: 152 , countAccess: 0
[153]: tagMask: ffffffff0000 , tag_offset: 17400000 , ppn: 0 , valid: true , ptIndex: 153 , countAccess: 235817
[154]: tagMask: ffffffffe000 , tag_offset: 17410000 , ppn: 0 , valid: true , ptIndex: 154 , countAccess: 25212
[155]: tagMask: fffffffc0000 , tag_offset: 17440000 , ppn: 0 , valid: true , ptIndex: 155 , countAccess: 81246510
[156]: tagMask: ffffffe00000 , tag_offset: 17600000 , ppn: 0 , valid: true , ptIndex: 156 , countAccess: 0
[157]: tagMask: ffffffffe000 , tag_offset: 17800000 , ppn: 0 , valid: true , ptIndex: 157 , countAccess: 1422230
[158]: tagMask: fffffff00000 , tag_offset: 17900000 , ppn: 0 , valid: true , ptIndex: 158 , countAccess: 24940493
[159]: tagMask: ffffffe00000 , tag_offset: 17a00000 , ppn: 0 , valid: true , ptIndex: 159 , countAccess: 0
[160]: tagMask: ffffffff0000 , tag_offset: 17c00000 , ppn: 0 , valid: true , ptIndex: 160 , countAccess: 1145998
[161]: tagMask: fffffffff000 , tag_offset: 17c10000 , ppn: 0 , valid: true , ptIndex: 161 , countAccess: 197656
